,preis,kilometer,erstzulassung_monat,erstzulassung_jahr,leistung,mfk_monat,mfk_jahr,angebotsnummer,bewertung_durchschnitt,bewertung_gesamteindruck,bewertung_erreichbarkeit,bewertung_zuverlaessigkeit,bewertung_angebotsbeschreibung,bewertung_kauferlebnis,anzahl_bewertungen,prozentsatz_weiterempfehlungen,fahrzeughalter,gaenge,hubraum,kraftstoffverbrauch,co2_emissionen,tueren,sitzplaetze,garantie,marke_Volkswagen,modell_Golf VI,treibstoff_Autogas (LPG),treibstoff_Benzin,treibstoff_Diesel,treibstoff_Gas,treibstoff_Sonstige,anbieter_Gewerblicher Anbieter,anbieter_Privater Anbieter,karosserieform_Cabrio,karosserieform_Coupé,karosserieform_Kleinwagen,karosserieform_Kombi,karosserieform_Limousine,karosserieform_Sonstige,karosserieform_Van/Kleinbus,getriebe_Automatik,getriebe_Halbautomatik,getriebe_Schaltgetriebe,antriebsart_Allrad,antriebsart_Front,antriebsart_Heck
189,10790,69850.0,9.0,2011.0,77,,,264186696,4.6,4.5,4.0,5.0,4.5,5.0,2.0,100.0,1.0,6.0,1197.0,57.0,134.0,5.0,5.0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
191,10880,118393.0,8.0,2011.0,77,,,270392142,4.4,4.38,4.69,4.53,4.33,4.0,13.0,100.0,1.0,,1598.0,45.0,,,4.0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
192,10890,52596.0,4.0,2011.0,63,,,269971138,3.96,3.75,3.85,4.14,4.42,3.5,8.0,100.0,1.0,5.0,1197.0,55.0,129.0,4.0,5.0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
193,10890,140020.0,1.0,2012.0,77,,,270522157,3.96,3.75,3.85,4.14,4.42,3.5,8.0,100.0,1.0,5.0,1598.0,41.0,,,2.0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
195,10920,107440.0,10.0,2009.0,103,,,265425820,3.07,2.83,3.33,3.0,3.33,2.75,6.0,50.0,,6.0,2000.0,55.0,,,4.0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
196,10930,100117.0,3.0,2011.0,77,3.0,2016.0,270880603,4.35,4.45,4.27,4.27,4.27,4.57,11.0,100.0,1.0,,1598.0,45.0,,,5.0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
197,10930,94000.0,3.0,2009.0,81,4.0,2016.0,270832635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,1968.0,49.0,,,5.0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
198,10930,41138.0,7.0,2011.0,63,,,270379676,2.93,2.66,3.33,3.0,3.66,2.0,3.0,67.0,1.0,5.0,1197.0,55.0,129.0,5.0,5.0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
199,10950,66330.0,10.0,2009.0,118,,,256634284,5.0,5.0,5.0,5.0,5.0,5.0,3.0,100.0,1.0,6.0,1390.0,1.0,,4.0,5.0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
200,10949,130750.0,2.0,2012.0,77,,,269735350,3.69,3.77,3.66,3.66,4.0,3.37,9.0,78.0,1.0,,1598.0,45.0,,,,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
201,10979,41000.0,3.0,2011.0,59,,,269883518,4.57,4.5,4.75,4.75,4.5,4.33,4.0,100.0,1.0,,1390.0,64.0,149.0,5.0,,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
202,10950,43600.0,3.0,2011.0,63,4.0,2016.0,270308129,4.29,4.27,4.35,4.3,4.38,4.11,66.0,91.0,2.0,5.0,1197.0,55.0,129.0,5.0,5.0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
204,10969,80139.0,4.0,2011.0,63,,,269355087,4.22,4.38,4.35,4.25,4.12,4.0,57.0,86.0,2.0,,1197.0,55.0,130.0,4.0,5.0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
207,10989,69990.0,6.0,2011.0,77,,,270381262,3.62,3.6,4.4,3.4,3.4,3.25,5.0,60.0,1.0,6.0,1197.0,57.0,134.0,5.0,5.0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
208,10989,40800.0,2.0,2012.0,59,,,269288985,5.0,5.0,5.0,5.0,5.0,5.0,2.0,100.0,2.0,,1390.0,69.0,165.0,4.0,5.0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
209,10979,52418.0,12.0,2010.0,90,,,269246561,5.0,5.0,5.0,5.0,5.0,5.0,2.0,100.0,2.0,,1390.0,62.0,147.0,5.0,5.0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
210,10990,87600.0,12.0,2008.0,81,,,270327130,5.0,5.0,5.0,5.0,5.0,5.0,2.0,100.0,2.0,5.0,1968.0,49.0,,,4.0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
211,10980,56305.0,12.0,2010.0,77,,,265103046,4.46,4.41,4.58,4.57,4.31,4.42,39.0,95.0,2.0,6.0,1197.0,57.0,134.0,5.0,5.0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
213,10989,29899.0,3.0,2012.0,63,,,267587351,3.62,3.6,4.4,3.4,3.4,3.25,5.0,60.0,1.0,5.0,1197.0,55.0,,5.0,5.0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
214,10990,69400.0,3.0,2010.0,90,,,269202880,2.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,,6.0,1390.0,63.0,149.0,5.0,5.0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
216,10990,45430.0,3.0,2011.0,63,,,269256850,4.31,3.75,4.25,4.33,4.66,5.0,4.0,75.0,1.0,5.0,1197.0,55.0,130.0,3.0,5.0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
219,10990,30477.0,1.0,2011.0,77,,,265742368,4.62,4.4,4.6,4.8,4.6,4.75,5.0,100.0,1.0,6.0,1197.0,57.0,134.0,5.0,5.0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
220,10990,88500.0,2.0,2009.0,90,,,266029500,4.41,4.54,4.68,4.45,4.45,3.89,22.0,82.0,3.0,6.0,1390.0,63.0,149.0,5.0,5.0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
221,11289,74775.0,4.0,2010.0,90,,,266487713,5.0,5.0,5.0,5.0,5.0,5.0,2.0,100.0,1.0,,1390.0,63.0,149.0,5.0,5.0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
222,11389,45750.0,2.0,2011.0,63,,,270035236,3.62,3.6,4.4,3.4,3.4,3.25,5.0,60.0,,5.0,1197.0,55.0,129.0,5.0,5.0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
224,11390,24415.0,3.0,2011.0,63,3.0,2016.0,270648051,4.35,4.45,4.27,4.27,4.27,4.57,11.0,100.0,2.0,,1197.0,55.0,130.0,5.0,5.0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
225,11390,118160.0,1.0,2012.0,77,1.0,2017.0,270648038,4.35,4.45,4.27,4.27,4.27,4.57,11.0,100.0,1.0,,1598.0,45.0,,,5.0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
227,11370,85000.0,2.0,2011.0,77,,,270362767,4.02,4.16,4.23,3.81,4.12,3.69,18.0,83.0,1.0,6.0,1200.0,52.0,121.0,5.0,5.0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
228,11400,77500.0,1.0,2010.0,77,,,270879010,4.16,4.38,4.17,4.11,4.38,3.61,18.0,83.0,2.0,5.0,1598.0,45.0,,,5.0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
229,11430,34256.0,2.0,2012.0,59,1.0,2017.0,270877156,4.48,4.6,4.6,4.6,4.6,4.0,5.0,100.0,1.0,,1390.0,69.0,165.0,5.0,5.0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
230,11420,92800.0,8.0,2010.0,90,,,270033216,3.97,4.0,4.0,3.55,4.5,3.83,9.0,78.0,1.0,6.0,1390.0,63.0,149.0,4.0,5.0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
233,11450,111880.0,4.0,2011.0,77,,,269971125,3.96,3.75,3.85,4.14,4.42,3.5,8.0,100.0,1.0,5.0,1598.0,41.0,,,4.0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
234,11449,51042.0,5.0,2011.0,63,,,270203340,4.22,4.38,4.35,4.25,4.12,4.0,57.0,86.0,1.0,,1197.0,55.0,130.0,4.0,5.0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
237,11450,23580.0,12.0,2010.0,77,,,265015107,3.96,3.75,3.85,4.14,4.42,3.5,8.0,100.0,1.0,7.0,1197.0,58.0,134.0,2.0,5.0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
238,11469,69065.0,4.0,2011.0,90,3.0,2016.0,270381400,3.89,3.9,4.3,3.94,3.77,3.2,21.0,86.0,,6.0,1390.0,63.0,149.0,5.0,5.0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
