,preis,kilometer,erstzulassung_monat,erstzulassung_jahr,leistung,mfk_monat,mfk_jahr,angebotsnummer,bewertung_durchschnitt,bewertung_gesamteindruck,bewertung_erreichbarkeit,bewertung_zuverlaessigkeit,bewertung_angebotsbeschreibung,bewertung_kauferlebnis,anzahl_bewertungen,prozentsatz_weiterempfehlungen,fahrzeughalter,gaenge,hubraum,kraftstoffverbrauch,co2_emissionen,tueren,sitzplaetze,garantie,marke_Volkswagen,modell_Golf VI,treibstoff_Autogas (LPG),treibstoff_Benzin,treibstoff_Diesel,treibstoff_Gas,treibstoff_Sonstige,anbieter_Gewerblicher Anbieter,anbieter_Privater Anbieter,karosserieform_Cabrio,karosserieform_Coupé,karosserieform_Kleinwagen,karosserieform_Kombi,karosserieform_Limousine,karosserieform_Sonstige,karosserieform_Van/Kleinbus,getriebe_Automatik,getriebe_Halbautomatik,getriebe_Schaltgetriebe,antriebsart_Allrad,antriebsart_Front,antriebsart_Heck
20237,9999,106000.0,1.0,2012.0,77,,,269634826,3.73,3.61,4.15,3.61,3.53,3.77,13.0,77.0,1.0,6.0,1197.0,58.0,136.0,4.0,5.0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
20238,9999,124500.0,11.0,2008.0,118,,,269926963,4.8,4.69,4.78,4.91,4.91,4.69,23.0,100.0,,,1390.0,60.0,139.0,2.0,5.0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
20239,9999,132681.0,9.0,2011.0,77,,,269583702,2.3,1.5,5.0,1.0,2.5,1.5,2.0,0.0,,,1598.0,45.0,,,4.0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
20240,9999,140000.0,9.0,2011.0,77,8.0,2016.0,269788416,4.88,5.0,4.5,5.0,5.0,5.0,2.0,100.0,1.0,,1598.0,45.0,,,4.0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
20241,9999,121650.0,10.0,2012.0,77,,,269647162,2.3,1.5,5.0,1.0,2.5,1.5,2.0,0.0,,,1598.0,45.0,,,4.0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
20247,9999,72500.0,11.0,2011.0,77,12.0,2016.0,269485275,4.22,4.37,4.25,4.25,4.0,4.25,8.0,88.0,,6.0,1197.0,57.0,134.0,4.0,5.0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
20249,9999,127000.0,3.0,2010.0,77,3.0,2017.0,269345267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,1598.0,45.0,,,4.0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
20250,9999,42300.0,10.0,2009.0,59,,,269161712,3.41,3.33,4.0,3.33,4.0,1.0,3.0,67.0,1.0,,1390.0,69.0,165.0,3.0,3.0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
20252,9999,89990.0,11.0,2008.0,90,,,269012520,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,1390.0,62.0,144.0,4.0,5.0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
20254,9999,126000.0,8.0,2010.0,77,,,268943396,2.3,1.5,5.0,1.0,2.5,1.5,2.0,0.0,2.0,,1598.0,45.0,,,4.0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
20255,9999,116200.0,5.0,2011.0,103,7.0,2016.0,269080577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,1968.0,61.0,,,4.0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
20266,9999,124000.0,2.0,2010.0,77,5.0,2015.0,268483486,1.4,1.0,3.0,1.0,1.0,1.0,1.0,0.0,,5.0,1598.0,45.0,,,4.0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
20273,9999,159600.0,2.0,2012.0,77,,,268307546,5.0,5.0,5.0,5.0,5.0,5.0,2.0,100.0,1.0,,1598.0,43.0,,,4.0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
20280,9999,100507.0,8.0,2009.0,81,8.0,2016.0,267806599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,1968.0,49.0,,,4.0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
20281,9999,139998.0,8.0,2009.0,118,8.0,2015.0,267662162,4.22,4.0,3.5,4.5,5.0,4.0,2.0,100.0,,,1798.0,68.0,159.0,4.0,5.0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
20282,9999,128700.0,11.0,2011.0,77,,,267734684,2.3,1.5,5.0,1.0,2.5,1.5,2.0,0.0,1.0,,1598.0,45.0,,,4.0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
20284,9999,102500.0,12.0,2010.0,77,11.0,2015.0,267453853,2.3,1.5,5.0,1.0,2.5,1.5,2.0,0.0,1.0,,1598.0,45.0,,,4.0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
20288,9999,90300.0,8.0,2010.0,77,,,267224957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,1197.0,57.0,134.0,2.0,5.0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
20295,9999,47000.0,3.0,2010.0,59,,,266819943,4.42,4.5,4.5,4.5,5.0,3.33,4.0,100.0,1.0,,1390.0,69.0,165.0,4.0,5.0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
20296,9999,129000.0,11.0,2011.0,77,10.0,2016.0,266643744,3.73,3.61,4.15,3.61,3.53,3.77,13.0,77.0,1.0,,1598.0,45.0,,,4.0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
20311,9999,97800.0,3.0,2012.0,77,10.0,2016.0,265524908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,5.0,1598.0,,,2.0,5.0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
20312,9999,134690.0,8.0,2011.0,77,,,265576111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1598.0,45.0,,,4.0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
20321,9999,115303.0,6.0,2010.0,90,,,261391237,4.38,4.66,4.0,4.33,4.33,5.0,3.0,100.0,2.0,6.0,1390.0,65.0,152.0,4.0,5.0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
20324,9999,87640.0,1.0,2010.0,90,,,256633137,4.6,4.0,5.0,5.0,4.0,5.0,1.0,100.0,2.0,6.0,1390.0,62.0,144.0,4.0,5.0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
20330,9999,114030.0,3.0,2011.0,77,,,243785632,4.06,3.92,4.16,4.08,4.33,3.77,13.0,85.0,1.0,5.0,1598.0,45.0,,,4.0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
20333,9999,69985.0,5.0,2009.0,118,,,254323707,3.78,4.33,4.33,3.33,3.66,3.0,3.0,67.0,2.0,,1390.0,63.0,145.0,2.0,5.0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
20347,10000,78327.0,5.0,2011.0,77,,,270645100,4.44,4.42,4.57,4.42,4.42,4.33,7.0,86.0,1.0,5.0,1598.0,,,5.0,5.0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
20422,10200,61459.0,12.0,2010.0,59,12.0,2015.0,266182583,5.0,5.0,5.0,0.0,5.0,0.0,1.0,100.0,2.0,5.0,1390.0,69.0,165.0,5.0,5.0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
20434,10219,81350.0,9.0,2009.0,90,9.0,2016.0,266931723,4.84,4.83,4.5,5.0,5.0,5.0,6.0,100.0,1.0,,1390.0,60.0,138.0,5.0,5.0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
20435,10248,49500.0,5.0,2012.0,59,,,270977372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,1390.0,69.0,165.0,2.0,5.0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
20437,10222,42826.0,5.0,2009.0,90,6.0,2016.0,269505980,4.91,4.88,4.96,4.92,4.88,4.92,26.0,100.0,1.0,6.0,1390.0,63.0,149.0,4.0,5.0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
20441,10240,96150.0,10.0,2009.0,77,,,266583130,4.54,4.57,4.66,4.57,4.42,4.47,21.0,100.0,2.0,5.0,1600.0,,,5.0,5.0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
20444,10250,77960.0,9.0,2009.0,90,9.0,2016.0,270384532,4.88,4.8,5.0,5.0,4.8,4.8,5.0,100.0,1.0,6.0,1390.0,62.0,144.0,4.0,5.0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
20446,10249,86000.0,2.0,2010.0,75,,,268673255,4.41,4.25,4.33,4.66,4.25,4.66,4.0,100.0,2.0,,1598.0,74.0,176.0,5.0,5.0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
20451,10250,112000.0,1.0,2011.0,77,2.0,2016.0,265956806,3.11,3.0,3.5,2.5,2.5,5.0,2.0,50.0,,,1598.0,48.0,,,4.0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
20456,10280,102069.0,2.0,2011.0,77,,,269315023,4.5,4.4,4.5,4.75,4.5,4.33,5.0,100.0,1.0,,1598.0,42.0,,,4.0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
20459,10270,87487.0,1.0,2012.0,59,,,270184990,2.44,3.0,3.5,1.0,3.0,1.0,2.0,50.0,1.0,5.0,1390.0,69.0,165.0,5.0,5.0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
20460,10290,66400.0,11.0,2009.0,90,6.0,2015.0,270932701,4.76,4.83,4.58,4.83,4.83,4.72,12.0,100.0,3.0,6.0,1390.0,,,5.0,,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
20461,10280,85700.0,9.0,2009.0,90,,,268036845,4.71,4.66,4.75,4.58,4.75,4.87,12.0,100.0,1.0,,1390.0,63.0,149.0,4.0,5.0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
20462,10280,18400.0,10.0,2010.0,59,,,261847792,4.3,4.52,4.37,4.43,4.0,4.1,17.0,94.0,2.0,,1390.0,64.0,149.0,5.0,5.0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
20463,10280,59960.0,3.0,2011.0,59,,,268711474,4.68,4.66,4.83,4.66,4.66,4.6,6.0,100.0,1.0,,1390.0,64.0,149.0,2.0,5.0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
20472,10290,61521.0,2.0,2010.0,90,2.0,2016.0,269230050,3.05,3.0,3.25,3.25,3.25,2.33,4.0,50.0,,,1390.0,60.0,138.0,2.0,5.0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
20477,10290,44300.0,5.0,2009.0,75,1.0,2016.0,262890274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,1598.0,,,5.0,,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
20479,10290,108958.0,11.0,2011.0,77,11.0,2016.0,266316016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,1598.0,45.0,,,4.0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
20488,10300,48900.0,5.0,2011.0,63,4.0,2017.0,266319320,,,,,,,,,1.0,5.0,1197.0,55.0,129.0,2.0,5.0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0
20490,10300,48886.0,5.0,2011.0,63,4.0,2017.0,269405804,,,,,,,,,1.0,5.0,1197.0,55.0,129.0,2.0,5.0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0
20498,10300,54100.0,6.0,2010.0,59,,,267323748,3.72,3.8,4.0,3.6,3.5,3.66,5.0,60.0,2.0,,1390.0,69.0,165.0,4.0,5.0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
20506,10349,48000.0,2.0,2009.0,90,2.0,2016.0,263692728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,1390.0,60.0,138.0,3.0,5.0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
20510,10349,25500.0,12.0,2010.0,63,,,263656714,4.41,4.25,4.33,4.66,4.25,4.66,4.0,100.0,1.0,,1197.0,55.0,130.0,5.0,5.0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
20511,10333,81030.0,1.0,2011.0,77,1.0,2016.0,268389178,4.65,4.66,4.5,4.66,4.66,5.0,6.0,100.0,1.0,,1197.0,52.0,121.0,2.0,5.0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
20519,10380,26155.0,3.0,2011.0,63,3.0,2016.0,267611713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1197.0,,,5.0,,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0
20520,10380,89413.0,11.0,2010.0,90,,,270528370,3.97,4.0,4.0,3.55,4.5,3.83,9.0,78.0,1.0,6.0,1390.0,63.0,149.0,4.0,5.0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
20521,10380,64000.0,11.0,2010.0,63,,,268485703,4.35,4.5,4.37,4.37,4.0,4.6,8.0,100.0,1.0,,1197.0,55.0,129.0,4.0,5.0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
20525,10380,136844.0,11.0,2011.0,77,12.0,2016.0,267985704,4.53,4.57,4.66,4.5,4.33,4.66,7.0,100.0,1.0,5.0,1598.0,45.0,,,4.0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
20526,10390,140500.0,2.0,2012.0,77,,,270484971,4.88,5.0,5.0,5.0,4.5,5.0,2.0,100.0,1.0,,1598.0,45.0,,,5.0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
20527,10390,180925.0,4.0,2012.0,77,,,270820773,4.88,5.0,5.0,5.0,4.5,5.0,2.0,100.0,1.0,7.0,1598.0,48.0,,,5.0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
20535,10390,60550.0,5.0,2010.0,90,2.0,2016.0,270455366,4.1,4.0,4.0,4.0,4.5,4.0,2.0,100.0,2.0,6.0,1390.0,63.0,146.0,5.0,5.0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
20540,10390,72636.0,4.0,2009.0,118,,,266474199,5.0,5.0,0.0,0.0,0.0,0.0,1.0,100.0,1.0,,1390.0,63.0,145.0,3.0,5.0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
20547,10390,51800.0,11.0,2010.0,59,,,259346102,4.28,4.5,4.33,4.5,4.1,4.0,10.0,90.0,1.0,5.0,1390.0,64.0,149.0,2.0,5.0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
20549,10400,124600.0,8.0,2011.0,77,10.0,2016.0,270934070,2.92,2.33,4.66,2.33,2.33,3.0,3.0,100.0,,5.0,1598.0,45.0,,,4.0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
20550,10400,56700.0,10.0,2010.0,77,,,270767126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,1197.0,57.0,134.0,5.0,5.0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
20551,10400,63000.0,7.0,2010.0,77,,,270820312,4.92,4.66,5.0,5.0,5.0,5.0,3.0,100.0,2.0,,1197.0,57.0,135.0,2.0,5.0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
20561,10400,110800.0,12.0,2010.0,77,,,269912353,4.52,4.0,4.75,4.75,4.66,4.5,4.0,100.0,2.0,5.0,1598.0,45.0,,,5.0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
20565,10400,99600.0,1.0,2011.0,77,1.0,2016.0,268566155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,1598.0,45.0,,,2.0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
20567,10400,88539.0,1.0,2010.0,90,9.0,2016.0,268197826,5.0,5.0,5.0,5.0,5.0,0.0,2.0,100.0,2.0,,1390.0,60.0,138.0,4.0,5.0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
20575,10410,74501.0,1.0,2009.0,90,,,269474763,3.29,3.0,3.5,3.0,3.83,3.0,6.0,67.0,3.0,,1390.0,63.0,149.0,5.0,5.0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
20579,10429,81710.0,3.0,2011.0,59,3.0,2016.0,270092762,4.54,4.57,4.57,4.5,4.42,4.66,7.0,100.0,1.0,,1390.0,64.0,149.0,5.0,5.0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
20585,10430,45183.0,10.0,2010.0,63,,,269654551,3.53,3.66,3.83,3.5,3.33,3.33,6.0,67.0,2.0,5.0,1197.0,55.0,130.0,5.0,5.0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
20586,10430,93100.0,4.0,2010.0,77,,,270386850,4.25,4.4,4.8,4.4,3.6,4.0,5.0,60.0,1.0,5.0,1598.0,45.0,,,5.0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
20588,10430,113300.0,9.0,2010.0,77,,,270658751,4.17,4.0,4.0,4.0,4.5,4.5,6.0,100.0,1.0,,1598.0,45.0,,,5.0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
20589,10430,98459.0,1.0,2011.0,77,,,268233039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,1197.0,57.0,134.0,5.0,5.0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
20591,10430,67242.0,7.0,2011.0,63,,,269003908,3.5,4.0,3.0,4.0,3.0,0.0,1.0,100.0,1.0,5.0,1197.0,55.0,130.0,3.0,5.0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
20594,10430,44552.0,11.0,2011.0,59,,,266550885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,1390.0,64.0,149.0,5.0,5.0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
20597,10440,58718.0,1.0,2012.0,63,,,266101461,5.0,5.0,5.0,5.0,5.0,5.0,1.0,100.0,1.0,,1197.0,55.0,130.0,5.0,5.0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
20598,10440,48207.0,4.0,2011.0,59,5.0,2016.0,269667552,4.53,4.57,4.66,4.5,4.33,4.66,7.0,100.0,1.0,5.0,1390.0,1.0,,3.0,5.0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
20599,10440,144969.0,12.0,2011.0,77,,,269919651,4.15,4.0,4.33,4.33,4.5,3.5,3.0,100.0,1.0,5.0,1598.0,45.0,,,5.0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
20604,10444,79990.0,9.0,2010.0,77,,,269748013,3.8,4.0,4.0,4.0,4.0,3.0,1.0,100.0,2.0,6.0,1200.0,58.0,136.0,5.0,5.0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
20605,10444,31618.0,3.0,2012.0,59,,,268883138,3.06,3.0,3.33,3.0,3.0,3.0,3.0,33.0,1.0,5.0,1390.0,64.0,149.0,4.0,5.0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
20606,10442,81700.0,10.0,2010.0,90,,,271035473,3.8,4.0,4.0,4.0,4.0,3.0,1.0,100.0,2.0,6.0,1400.0,62.0,144.0,5.0,5.0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
20609,10444,43760.0,2.0,2012.0,59,,,268632339,3.06,3.0,3.33,3.0,3.0,3.0,3.0,33.0,1.0,5.0,1390.0,64.0,149.0,4.0,5.0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
20610,10444,66085.0,6.0,2010.0,59,,,269668711,4.5,4.0,5.0,5.0,4.0,0.0,1.0,100.0,,5.0,1390.0,,,5.0,,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0
20612,10449,25500.0,3.0,2011.0,59,,,267864104,4.41,4.25,4.33,4.66,4.25,4.66,4.0,100.0,1.0,,1390.0,69.0,165.0,5.0,5.0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
20613,10444,52256.0,11.0,2009.0,90,11.0,2016.0,268425221,4.91,4.88,4.96,4.92,4.88,4.92,26.0,100.0,1.0,6.0,1390.0,65.0,152.0,4.0,5.0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
20614,10449,78700.0,9.0,2009.0,90,,,270374640,4.85,4.75,5.0,5.0,5.0,4.0,4.0,100.0,2.0,,1390.0,63.0,149.0,5.0,5.0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
20618,10449,79300.0,6.0,2009.0,90,,,267302777,4.85,4.75,5.0,5.0,5.0,4.0,4.0,100.0,1.0,,1390.0,59.0,139.0,5.0,5.0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
20619,10450,89200.0,11.0,2009.0,118,,,270953566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1390.0,65.0,153.0,4.0,5.0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
20620,10450,126000.0,11.0,2011.0,77,,,270943873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1598.0,45.0,,,4.0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
20629,10450,77500.0,3.0,2009.0,90,,,270819148,4.12,4.1,4.5,3.9,4.4,3.66,10.0,70.0,1.0,6.0,1390.0,62.0,144.0,4.0,5.0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
20632,10450,56050.0,6.0,2011.0,59,7.0,2016.0,269914167,5.0,5.0,5.0,5.0,5.0,0.0,1.0,100.0,,5.0,1390.0,69.0,165.0,5.0,5.0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
20636,10450,80189.0,2.0,2009.0,59,,,269520060,4.08,4.0,4.5,4.4,4.0,2.5,6.0,100.0,3.0,,1390.0,,,,,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
20637,10450,34500.0,2.0,2011.0,63,,,269706803,4.47,4.5,4.25,4.5,4.5,4.66,4.0,100.0,1.0,5.0,1197.0,55.0,130.0,5.0,5.0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
20639,10450,65300.0,6.0,2009.0,75,,,268596608,4.0,4.0,4.0,4.0,4.0,0.0,1.0,100.0,1.0,5.0,1595.0,72.0,168.0,5.0,5.0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
20642,10450,36995.0,4.0,2010.0,77,4.0,2017.0,269366150,4.94,5.0,5.0,5.0,4.75,5.0,4.0,100.0,1.0,,1197.0,57.0,134.0,2.0,5.0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
20644,10450,62600.0,2.0,2011.0,59,,,268988497,4.53,4.66,5.0,4.66,4.0,4.33,3.0,100.0,1.0,,1390.0,69.0,165.0,5.0,5.0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
20649,10450,59651.0,11.0,2012.0,77,3.0,2017.0,267943858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,1197.0,57.0,134.0,4.0,5.0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
20651,10450,88515.0,1.0,2011.0,77,,,265095587,5.0,5.0,5.0,5.0,5.0,0.0,1.0,100.0,1.0,5.0,1598.0,,,5.0,5.0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
20661,10450,58144.0,8.0,2012.0,63,,,251229265,3.0,3.0,5.0,0.0,0.0,1.0,1.0,100.0,1.0,,1197.0,55.0,129.0,4.0,,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
20663,10455,58790.0,11.0,2009.0,90,11.0,2016.0,270323310,4.44,4.5,5.0,5.0,5.0,1.0,2.0,100.0,,6.0,1390.0,62.0,144.0,4.0,5.0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
20666,10470,58542.0,5.0,2011.0,63,,,270919039,4.57,4.0,4.75,4.75,5.0,4.33,4.0,100.0,1.0,5.0,1197.0,,,5.0,,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
20667,10460,87985.0,1.0,2011.0,63,,,268098823,4.35,4.75,4.5,4.75,4.33,2.5,4.0,100.0,1.0,,1197.0,55.0,129.0,2.0,5.0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
20668,10460,28390.0,10.0,2010.0,59,,,267655035,4.4,5.0,4.0,4.0,4.0,5.0,1.0,100.0,1.0,5.0,1390.0,64.0,149.0,5.0,5.0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
20670,10470,66412.0,6.0,2012.0,63,,,268062780,4.45,4.4,4.6,4.6,4.4,4.25,5.0,100.0,1.0,,1197.0,55.0,130.0,5.0,,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
